card_number,cvv,expiry,ssn,drivers_license,passport,bank_account,routing_number,iban,patient_id,diagnosis_code,medication_id
4111-2299-5901-4224,774,11/33,589-38-7952,D5294421,P9744530,18959060,450528765,DE191990818458461875,PT939037,ICD10-F19.5,MED933
4111-7207-8038-8644,760,03/30,535-47-5071,D7510784,P5836370,45224473,745664864,DE857799722475127554,PT891555,ICD10-F54.1,MED228
4111-7320-1739-7729,470,02/25,635-96-2189,D9783186,P6656012,35617437,164499610,DE327958203156301679,PT766439,ICD10-F92.8,MED736
4111-2536-3333-1241,536,11/34,927-83-9080,D1898604,P5392683,56541031,343180811,DE403337925386040554,PT410191,ICD10-F23.0,MED286
4111-3670-8518-2636,186,11/29,615-59-2219,D8563924,P2486179,65548298,601847662,DE611177183747092027,PT581720,ICD10-F51.0,MED974
4111-2328-7841-5109,537,03/30,574-64-5011,D6761666,P5178796,16109617,378787869,DE186160920886606011,PT136599,ICD10-F33.2,MED246
4111-3983-4306-5134,399,05/28,806-90-4069,D7450586,P9788958,74100588,934032912,DE198280096133411062,PT681136,ICD10-F80.4,MED805
4111-4092-3649-8202,578,01/28,225-41-6097,D5082314,P4458463,53171745,835223617,DE436160358577758376,PT874521,ICD10-F94.5,MED927
4111-6842-5406-7985,924,09/33,725-46-9027,D2912196,P3661820,45755239,947859519,DE221359354677849436,PT680104,ICD10-F35.1,MED901
4111-4896-2106-2639,831,10/24,992-26-2344,D7775343,P9314512,40762589,914847569,DE247348768488366601,PT180927,ICD10-F51.0,MED245
4111-8904-5619-6753,646,04/24,492-92-3178,D7750638,P4795742,27726034,486947034,DE238792788854285643,PT207875,ICD10-F11.7,MED859
4111-5167-9898-2093,649,03/26,387-51-9624,D4211005,P9482728,32500801,341946323,DE426983105426870767,PT382895,ICD10-F75.5,MED393
4111-4374-6356-1428,119,06/32,264-34-2750,D7473742,P4587004,55660740,546199244,DE495324681897345993,PT179515,ICD10-F74.4,MED929
4111-5726-4608-3532,893,10/25,972-89-1727,D6406173,P6809677,18795288,279932145,DE947016582529765641,PT723164,ICD10-F68.6,MED823
4111-2390-7998-6225,612,03/26,371-52-4410,D6285616,P6056878,17683099,663888713,DE589108717687476215,PT717737,ICD10-F94.7,MED709
4111-5916-5057-1515,288,09/30,994-39-8560,D1894127,P6864514,54321304,981974046,DE846200878946390522,PT266762,ICD10-F88.7,MED636
4111-5409-1148-1975,671,02/34,440-24-7362,D3391817,P6058519,68011069,309383979,DE182946934211142330,PT559643,ICD10-F90.4,MED467
4111-8579-8130-8144,739,07/32,307-42-2347,D5937763,P6911238,96304552,465960167,DE857377003699899438,PT913763,ICD10-F22.2,MED484
4111-4286-2580-8991,107,05/31,280-54-9483,D3034137,P8251923,99029299,399970688,DE239581827324081375,PT892129,ICD10-F83.1,MED635
4111-6223-7939-6554,123,10/24,899-18-9835,D4613748,P9808269,10780097,257816680,DE166225233074841599,PT587228,ICD10-F66.5,MED801
4111-2951-9614-9588,468,07/29,369-35-2028,D9157167,P2427945,21022392,889521451,DE137890750297483975,PT686785,ICD10-F84.0,MED501
4111-9207-3659-8499,960,08/27,364-32-3774,D9849489,P8257623,48870235,418380941,DE215824698223956546,PT464995,ICD10-F65.6,MED624
