card_number,cvv,expiry,ssn,drivers_license,passport,bank_account,routing_number,iban,patient_id,diagnosis_code,medication_id
4111-8446-8507-3073,671,11/34,397-40-6092,D7966627,P6498896,59932105,202128162,DE898795574431111852,PT754669,ICD10-F40.5,MED802
4111-5972-5464-6807,720,03/34,588-75-1199,D4569004,P7912620,34646852,926957193,DE348883416818968505,PT888206,ICD10-F97.8,MED969
4111-6715-3299-2990,249,08/24,953-89-8091,D9812550,P7823340,96260666,804626336,DE969359754626363360,PT570796,ICD10-F61.4,MED298
4111-1997-9106-7156,382,03/34,505-33-5274,D8920946,P5192262,11034406,285817799,DE617376127116198578,PT103942,ICD10-F96.7,MED291
4111-2602-7766-3015,177,11/33,226-71-6330,D3869325,P6940895,60455178,110907870,DE503396026543164014,PT528384,ICD10-F61.7,MED803
4111-2615-3253-1225,666,07/29,878-66-2725,D2262921,P7181336,89524968,891396389,DE955964929754739836,PT525063,ICD10-F63.4,MED479
4111-4612-5222-7549,911,07/30,893-39-1146,D1212764,P3112516,16344849,366899383,DE166735466444307426,PT539228,ICD10-F55.6,MED556
4111-1362-8676-3171,980,04/24,229-51-9574,D9355586,P2621769,70666129,483346136,DE367634269538299902,PT486178,ICD10-F72.0,MED261
4111-6696-9900-2470,119,02/32,797-34-1454,D9601948,P6993392,72374281,803819197,DE351499799463514568,PT415609,ICD10-F58.0,MED612
4111-2104-2432-5287,494,05/32,155-25-7804,D8590668,P7067917,70751125,692140283,DE118593238198667677,PT608378,ICD10-F10.7,MED880
4111-6668-9405-9537,183,05/32,977-26-5671,D5200016,P5770309,21423397,889811808,DE534436701484413446,PT501562,ICD10-F70.7,MED254
4111-7958-9609-8294,524,08/26,651-37-6414,D8993926,P3600490,29068276,428877627,DE612402687844817099,PT766404,ICD10-F64.7,MED482
4111-9022-7541-1957,899,03/30,550-51-2673,D7883965,P5268237,44698165,532075949,DE519293067152804432,PT836806,ICD10-F36.5,MED606
4111-3233-6610-4944,654,06/31,412-41-3999,D2613589,P8304483,89875203,802858527,DE212545967476892940,PT982680,ICD10-F51.6,MED128
4111-6464-4915-8783,956,04/30,153-93-5150,D5882592,P3738976,46076165,103645320,DE457598192747146086,PT758099,ICD10-F59.0,MED643
4111-8207-6075-1874,707,08/31,104-86-7051,D9576916,P6851111,48869449,537724809,DE665832357283405192,PT143028,ICD10-F20.0,MED755
4111-1708-2933-6464,467,09/30,341-74-5312,D6052132,P5788600,82265016,719087761,DE563318411154531253,PT252250,ICD10-F16.6,MED107
4111-6268-9531-6399,864,11/24,598-93-1356,D4235402,P2960543,37768756,667568680,DE304895578174766625,PT859929,ICD10-F38.6,MED162
4111-7542-4054-3475,510,11/33,595-59-3725,D2751295,P8446501,75249908,920489334,DE116455150701972574,PT893300,ICD10-F50.0,MED845
4111-6084-8770-5720,476,05/30,937-31-7770,D5378804,P3478158,38692770,598266004,DE382417667809616654,PT867405,ICD10-F39.4,MED207
4111-9615-7713-5592,414,06/25,601-27-8356,D5807250,P2574400,44424550,275206369,DE699363808387797042,PT104795,ICD10-F38.2,MED225
4111-6896-7186-1907,453,06/31,611-51-1968,D6559632,P7975291,89860055,538541072,DE904444142236924062,PT181485,ICD10-F56.8,MED633
4111-7977-9966-6228,733,03/24,945-72-6324,D1151364,P1067729,75020721,557234364,DE769524313563067783,PT627250,ICD10-F63.3,MED345
4111-2595-6756-6756,359,10/33,137-31-6998,D1319337,P2493316,71507053,734445007,DE893903801875776399,PT924248,ICD10-F40.4,MED296
4111-8100-5296-5720,970,11/31,547-89-5621,D1505964,P5880763,85969589,164980234,DE718624445688457745,PT274130,ICD10-F33.5,MED486
4111-1545-7139-9497,847,06/30,407-89-6305,D9491008,P1182850,62601425,383887168,DE731608934771764777,PT768598,ICD10-F68.4,MED545
4111-3269-8142-7181,836,10/25,192-66-4590,D2680340,P7088896,16379457,645639643,DE131487806923226624,PT678006,ICD10-F17.8,MED245
