card_number,cvv,expiry,ssn,drivers_license,passport,bank_account,routing_number,iban,patient_id,diagnosis_code,medication_id
4111-9865-1771-8704,502,01/33,472-51-6956,D9158429,P5572861,95946094,801691088,DE807933943138653393,PT886780,ICD10-F63.7,MED750
4111-5592-4118-4668,247,03/33,326-90-7426,D6381967,P7439582,56222207,792039796,DE104190504015332592,PT396163,ICD10-F58.6,MED317
4111-1435-4813-3427,929,01/31,501-81-3697,D2757616,P7728180,23159809,454238496,DE613282285519537810,PT320854,ICD10-F16.8,MED953
4111-2979-6416-5797,888,01/29,832-91-4546,D7970215,P3709387,79020665,188471948,DE151964418850601468,PT334556,ICD10-F43.0,MED235
4111-6558-8245-8035,411,03/24,474-10-7465,D8327654,P7079112,69787716,122868644,DE891254083200851875,PT189062,ICD10-F18.8,MED638
4111-3987-3113-6548,143,01/25,212-29-7592,D9457051,P2150213,34370591,993445359,DE924293789039661248,PT226337,ICD10-F24.4,MED884
4111-9561-4867-3398,849,04/25,207-24-6085,D7419803,P4443747,42434697,865533626,DE264733831318316572,PT326842,ICD10-F17.2,MED479
4111-1420-7088-9319,733,04/31,909-78-5972,D1348819,P8779810,40833523,744593106,DE782745630435555832,PT110563,ICD10-F54.4,MED684
4111-3583-9786-5337,615,04/32,257-17-4179,D7373039,P3911557,75683722,517676199,DE931705608555550190,PT261433,ICD10-F17.0,MED527
4111-7605-2620-5505,389,04/30,267-90-6876,D9802676,P5331121,59812124,831515511,DE745441693783032261,PT984479,ICD10-F88.2,MED958
4111-9870-6025-7215,573,05/30,349-73-4193,D6013070,P6989090,66318523,803167027,DE746918716035700317,PT781010,ICD10-F73.0,MED661
4111-7413-2349-8413,448,09/33,290-29-3566,D8106135,P1860000,35970517,850109609,DE555541533851369612,PT738123,ICD10-F96.1,MED854
4111-4908-8072-9354,399,01/29,431-55-3949,D2417822,P6489223,40858396,353623310,DE814866979571353749,PT960975,ICD10-F61.7,MED869
4111-9850-2088-2340,427,06/33,608-69-6436,D2034095,P2815530,59409401,760248708,DE319632268802898828,PT542296,ICD10-F62.1,MED537
4111-4993-4506-1176,611,02/25,963-98-5868,D3504261,P2855309,71201611,662574793,DE273565993395582464,PT494538,ICD10-F24.3,MED452
4111-7478-2329-1216,409,10/31,779-94-3547,D2765096,P7468008,81226236,846486002,DE835840787725031590,PT387253,ICD10-F24.7,MED655
4111-3262-3305-1012,226,04/32,246-50-6991,D5409220,P8646156,82848408,357699562,DE316135830396677848,PT724549,ICD10-F41.4,MED627
4111-8978-8232-4522,293,01/33,810-40-6009,D7174061,P8001031,34262643,980185239,DE145699219665652984,PT366766,ICD10-F20.0,MED130
4111-1910-8355-9522,294,03/34,129-57-8372,D9863084,P2563167,17293091,421429625,DE951729278677338346,PT977000,ICD10-F76.8,MED795
4111-1760-3238-6949,434,10/28,414-66-3034,D7070680,P1840176,44234739,985989355,DE589280884889713249,PT437410,ICD10-F25.7,MED744
4111-8780-9350-1692,485,04/28,447-35-3011,D6733718,P9874517,20985106,374303136,DE896860579275057971,PT124252,ICD10-F49.8,MED779
4111-7055-6409-9048,881,06/30,736-67-6558,D9268587,P9003046,78731333,649451483,DE669440882963017754,PT315870,ICD10-F33.5,MED970
4111-7960-5464-2142,646,08/34,360-54-9472,D1663418,P8206394,17772240,550747162,DE596971910770903921,PT582577,ICD10-F91.3,MED477
4111-8106-3282-6671,982,08/29,707-35-2488,D1878842,P1411961,37125379,757775330,DE525730342791545069,PT422989,ICD10-F43.6,MED207
4111-9920-8560-4626,842,09/32,495-96-3727,D6687560,P7712887,33322011,476773183,DE449384234880648755,PT176168,ICD10-F61.8,MED167
4111-3717-2501-5213,818,06/27,820-81-1076,D6508157,P7162624,60774676,729562875,DE186580647772694254,PT717265,ICD10-F76.7,MED936
