card_number,cvv,expiry,ssn,drivers_license,passport,bank_account,routing_number,iban,patient_id,diagnosis_code,medication_id
4111-1591-5046-4693,568,02/34,227-83-3234,D6906303,P2927722,48822901,431128123,DE526749731505323978,PT666302,ICD10-F31.4,MED837
4111-5793-5881-1753,976,03/30,490-13-2127,D7397280,P4007195,82085604,577874222,DE532592398063583678,PT396124,ICD10-F62.8,MED860
4111-1890-6022-6898,308,06/30,756-64-9612,D2977198,P1030307,86627775,540972940,DE594012580931403714,PT193849,ICD10-F80.0,MED921
4111-7578-9862-5381,866,08/29,983-72-1504,D4106938,P2522648,85840200,632358557,DE484957268811490521,PT440364,ICD10-F68.3,MED423
4111-7347-6362-1667,842,11/33,674-74-4491,D3049833,P8234780,23886429,265803745,DE421709587863307748,PT820086,ICD10-F97.5,MED529
4111-4164-7380-2139,702,07/29,810-72-9557,D7331863,P1937158,43438502,764256102,DE829068646684626539,PT321395,ICD10-F22.8,MED199
4111-1434-2244-4395,470,05/34,723-12-9598,D5252395,P8802702,97996297,995800570,DE331707310207377771,PT542486,ICD10-F76.0,MED206
4111-8233-1600-1384,326,11/30,946-67-1315,D6714072,P2327762,58317677,545340308,DE353540065938471234,PT303187,ICD10-F30.6,MED529
4111-1639-1214-8569,295,10/26,971-66-2191,D8553543,P9893233,90448558,235353520,DE601185543671122036,PT255673,ICD10-F72.1,MED692
4111-3487-2695-1755,825,01/32,550-25-3290,D2783399,P8979351,97283103,180929041,DE572517722589393378,PT306531,ICD10-F45.5,MED320
4111-7742-1298-8653,253,05/27,521-76-7191,D7627091,P6109342,10803436,897946216,DE983491717989663523,PT312791,ICD10-F45.6,MED593
4111-4595-8247-9471,348,01/33,289-19-5110,D8011048,P3618156,22138156,832605447,DE286507832649858957,PT577292,ICD10-F91.5,MED410
4111-9414-9715-7229,336,10/24,951-60-8565,D4831797,P6857084,26761892,594595241,DE735827368063994168,PT567018,ICD10-F52.7,MED696
4111-8812-4756-7654,474,01/31,432-30-1616,D7304357,P5155657,31680269,455606482,DE895667417317642411,PT531050,ICD10-F15.1,MED225
4111-2610-6778-8485,143,07/31,491-58-3606,D6305975,P9792872,85275663,784415929,DE479322169560745182,PT600300,ICD10-F89.4,MED459
4111-7481-9409-4589,182,09/34,821-72-4835,D4804875,P2295459,12999446,835192784,DE963714566470277297,PT356186,ICD10-F90.1,MED768
4111-8842-1613-3402,511,07/31,300-12-9316,D7361639,P3690629,99718431,261844361,DE311315362706945956,PT267906,ICD10-F56.4,MED201
4111-7463-4892-5360,613,03/25,473-31-6594,D7368499,P7628464,91348925,634319469,DE388999867486480602,PT121279,ICD10-F95.6,MED405
4111-3279-2864-6274,153,04/32,581-40-1731,D1601425,P1647741,89353830,740900622,DE186268399862625893,PT656877,ICD10-F65.2,MED295
4111-7350-1329-6606,818,10/31,273-52-7576,D2413020,P1662984,85610723,623989930,DE128569026906607325,PT297991,ICD10-F37.3,MED579
4111-9270-1034-6017,947,01/25,412-23-3518,D3819997,P6035895,12819359,986243325,DE442268394680943815,PT669461,ICD10-F31.4,MED621
4111-1542-1841-6766,297,10/27,151-80-5090,D6155689,P5531643,71005732,657060510,DE375292711507260079,PT839437,ICD10-F96.7,MED595
4111-5246-3260-9577,504,03/26,896-37-2810,D2689606,P5326414,88581206,482038912,DE374042820599724143,PT321219,ICD10-F54.7,MED493
4111-4086-3217-6636,721,07/29,685-95-6334,D4664054,P4590980,20688991,246123131,DE452220277136106904,PT412773,ICD10-F25.0,MED978
4111-9854-8769-6982,126,07/30,630-92-5235,D7475900,P1818232,47433301,356033668,DE807199324766246125,PT419324,ICD10-F14.8,MED600
4111-8228-9277-7506,860,11/26,302-42-9346,D1638119,P7102842,58588589,454097536,DE163400205348767953,PT437322,ICD10-F89.1,MED570
